name,description,price,category_id,vendor_id,id,thumbnail_uri,shipping_price,old_price
ASUS GeForce ROG STRIX RTX 3090 24G GAMING,"The ASUS GeForce RTX 3090 ROG Strix 24G is equipped with a powerful graphics processor and especially fast GDDR6X graphics memory. The gaming graphics card is suitable for gamers with high demands on graphics quality and performance. Compared to the RTX-2080 series, the computing speed of the rasterization optics and the ray tracing performance have been significantly increased. With a GeForce RTX 3090, extremely high frame rates in 4K and even smooth gaming in 8K are possible.",1435,4,1,12,8c538ee4-f6d8-428a-811b-eea6afe4ef98.png,0,
MSI Radeon RX6750XT MECH 2X OC GDDR6 HDMI DVI 3xDP,"GDDR / tbd-bit 12GB / tbd MHz / tbd Cuda Cores / PCI-E tbd , tbd x DP, tbd x HDMI.",451,4,2,13,f0625d5e-e6da-412c-bdd0-e0fa3c2b8f08.png,0,
ASUS GeForce DUAL RTX 2060 O6G EVO,"The Asus Dual GeForce RTX 2060 EVO combines performance and elegance in a unique way, delivering the latest nVidia Turing gaming experience in its purest form. The Dual GeForce RTX 2060 O6G EVO utilizes advanced cooling technologies inspired by the top-of-the-line graphics cards, and focuses more on substance than optics - the perfect choice for a balanced system. Fasten your seat belt and experience gaming at the highest level.

The Dual 2060 EVO is equipped with two powerful axial-tech fans. These fans have been redesigned for the latest generation of high-end ROG graphics cards and feature a smaller hub for longer blades and a locking ring to increase downward air pressure.

An advanced onboard controller stops the fans when the core temperature of the GPU drops below 55 degrees Celsius, so you can enjoy less demanding games in pleasant silence. As soon as the temperatures exceed a set limit, the fans automatically restart.

All ROG Strix graphics cards are manufactured using Auto-Extreme technology, an automated manufacturing process that sets new standards in the industry by performing all soldering in a single operation. This reduces the thermal stress to which the components are exposed and makes the use of harsh cleaning agents superfluous. This leads to a better environmental balance, reduces energy consumption during production and ensures a more reliable overall product.",287,4,1,14,21473690-4528-4437-aa25-859425794244.png,0,
ASUS GeForce GT 1030 2G BRK,"NVIDIA GeForce GT 1030, 2 GB GDDR5, 64-bit, 6008 MHz, HDMI, DP, HDCP, 169x69x21 mm.",97.70,4,1,15,ca22e941-e298-48ff-b491-89000140d3ca.png,0,
MSI GeForce RTX 4080 16GB VENTUS 3X OC,"",1421,4,2,16,5b07c6fc-3a01-4195-a230-39c2cd7cc13d.png,25,
Sapphire Radeon RX 6700,"The SAPPHIRE AMD Radeon RX 6700 graphics card uses powerful Dual-X cooling technology combined with intelligent fan control to keep temperatures low and fan noise down. The refined PCB design ensures stable, reliable and consistent performance, efficiently reducing PCB temperature and component signal noise.",375,4,1,17,c1800928-ab64-4260-8f42-202dbe5373bb.png,15,399
ASUS GeForce DUAL RTX 3060 Ti O8G MINI V2,"Double fan. Double the fun.
The dual-GeForce RTX™-3060-Ti MINI graphics card is designed for compact gaming builds and the Intel® NUC 9. Features like Axial-Tech fan design, a custom 2-slot cooling solution, and Auto Extreme technology make the MINI the perfect choice for those looking for a compact system that can compete with large builds and massive desktop PCs when it comes to graphics performance.

Axial-Tech Fan Design
Better, faster, stronger

The Axial-Tech fan design was originally the result of research and development for high-end ROG graphics cards. This design utilizes a smaller fan hub that allows for longer fan blades, as well as a lantern ring that increases downward air pressure. The increased efficiency allows the fan to provide excellent cooling performance even at low RPMs. In this way, the noise of the system is reduced and the.",484,4,1,18,663d74d8-e455-42cb-8332-7c4339efeed9.png,0,
Gigabyte Aorus GeForce RTX 3070 Master 8G LHR,"The Gigabyte Aorus GeForce RTX 3070 Master 8G LHR is equipped with a powerful graphics processor and fast GDDR6 graphics memory. The gaming graphics card is suitable for demanding gamers who value high graphics quality. Compared to the RTX-2070 series, the computing speed of the rasterisation optics and the ray tracing performance have been significantly increased. In addition, the graphics accelerators of the Ampere generation support PCI Express 4.0. With a GeForce RTX 3070, high frame rates and smooth gaming in WQHD 1440p are possible.",661,4,3,19,bfad696f-feec-4d75-9d0b-55d0877e1d21.png,0,
MSI GeForce RTX 3060 Ventus 2X 12G OC,"MSI GeForce RTX 3060 VENTUS 2X 12G OC - Graphics cards - GF RTX 3060 - 12 GB GDDR6 - PCIe 4.0 - HDMI, 3 x DisplayPort.",409,4,2,20,"e503a709-a149-4e78-8a56-5f182481e350.png",10,
"Gigabyte GeForce RTX 3050 Eagle OC 8G, 8192 MB GDDR6","Record videos, screenshots and livestreams and share them with friends. Keep drivers up to date and optimise game settings. With GeForce Experience, anything is possible. The perfect companion app for your GeForce graphics card.",995,4,3,21,5813615e-cbac-402d-9931-757094febb6a.png,0,
ASUS GeForce TUF RTX 3070 O8G V2 Gaming,"MANUFACTURED ACCORDING TO TUF STANDARDS

The TUF GAMING GeForce RTX™ 3070 has been redesigned from the ground up to deliver more robust performance and reliable cooling. A new all-metal chassis houses three powerful Axial-Tech fans equipped with durable double ball bearings. The direction of fan rotation has been optimized to reduce turbulence, and a stop mode brings all three fans to a halt at low temperatures. Underneath is a massive heatsink that keeps temperatures under control at all times. Additional features like TUF components, Auto Extreme technology, and a backplate vent make the TUF a real powerhouse. For PC screwdrivers looking for a new faithful companion, this card is the right choice.

FANS
AXIAL TECH UPGRADES
TUF gaming cards use our proven Axial-Tech fan design, with three fans working in parallel to provide.",785,4,1,22,afbe86a9-455d-4029-9214-a9dc860e166c.png,55,
Gigabyte GeForce RTX 4080 16GB GAMING OC,"The NVIDIA GeForce RTX 4080 is the latest GeForce GPU. It makes a huge leap in performance, efficiency and AI-driven graphics. Experience high-performance gaming, detailed virtual worlds with ray tracing, increased productivity and new ways to be creative. Powered by NVIDIA Ada Lovelace architecture and equipped with 16GB of G6X memory, you'll get one of the best experiences for gamers and creatives.",1354,4,3,23,12c67c8c-f68a-4e8b-85e8-3fbe755f21e5.png,0,1380
ASUS Radeon TUF RX 6800 XT O16G GAMING,"The TUF GAMING Radeon RX 6800 XT is a stubborn beast with a rugged metal housing, highly efficient cooling and components that offer improved durability. Inside an all-metal cover are three powerful axial-tech fans with two ball bearings and additional blades. Beneath the exoskeleton, a thick heat sink keeps thermal under tight control, and TUF components selected for maximum durability and performance keep the card in front of the pack. You asked for a mean machine... this one is ready to go.",739,4,1,24,eb06bae2-390f-4bc5-abff-8906b4a97303.png,0,
Gigabyte GeForce RTX 3070 Ti Gaming OC,"The Gigabyte GeForce RTX 3070 Ti Gaming OC LHR is a high-end graphics card featuring the GeForce RTX 3070 Ti GPU from nVidia. The powerful GeForce RTX 30 graphics card series is based on the nVidia Ampere architecture and offers new levels of gaming realism, speed and power efficiency, RTX IO and realistic VR experiences. Other features include Real-Time Ray Tracing, nVidia Ansel, with extensive tools for creating screenshots in games, as well as nVidia G-Sync, G-Sync HDR, DirectX 12 Ultimate, nVidia DLSS, PCI Express Gen 4, nVidia FreeStyle, nVidia ShadowPlay, nVidia Highlights, Vulkan RT API and OpenGL 4.6. The GPU installed on the Gigabyte GeForce RTX 3070 Ti Gaming OC LHR has 6144 shader units. The 8 GB GDDR6X memory has a 256-bit memory controller.",735.30,4,3,25,26c5a61e-dfbb-495a-9871-5b41f0577f8e.png,0,
ASUS GeForce PH RTX 3060 12G-V2,"The ASUS Phoenix GeForce RTX 3060 owes its name to high performance in a robust chassis. A single large fan takes advantage of the Axial-Tech fan design and a dual ball bearing fan that lasts twice as long as plain bearing alternatives. To raise standards, each card is manufactured with fully automated Auto Extreme technology and subjected to a 144-hour gaming stress test. If you're looking for a durable competitor that will provide you with years of gaming power, the ASUS Phoenix is the perfect choice.",394,4,1,26,6964e224-b397-4592-9831-c2c71bfdb7bf.png,29,440
Gigabyte GeForce RTX 3070 Ti Aorus Master,"In the Aorus dimension, everything is designed digitally. Lighting and patterns are mapped onto the products with an efficient, free-flowing style. Welcome to the era of digital code. Max-Covered cooling features two 115mm and one 100mm blade stack fans with wind claw design and alternate rotation, allowing air pressure to fully cover the heatsink.",769,4,3,27,b3f4ed79-a98b-481c-96cc-5bc196c5367e.png,0,
MSI GeForce RTX 3060 Ti VENTUS 3X OC LHR,"",549,4,2,28,c1827c69-63e8-4ed2-80e8-dc7085ea5132.png,0,
Gigabyte GeForce RTX 4080 16GB AERO OC,"The NVIDIA GeForce RTX 4080 is the latest GeForce GPU. It makes a huge leap in performance, efficiency and AI-driven graphics. Experience high-performance gaming, detailed virtual worlds with ray tracing, increased productivity and new ways to be creative. Powered by NVIDIA Ada Lovelace architecture and equipped with 16GB of G6X memory, you'll get one of the best experiences for gamers and creatives.",1583,4,3,29,c5f0b251-2b93-4f43-81ff-ca097652da5a.png,20,1699
MSI GeForce RTX 3060 Ti Gaming Z Trio LHR,"NVIDIA GeForce RTX 3060 Ti graphics card, with 1,410/1,830 MHz base/boost clock, 8 GB GDDR6 VRAM with 14 GHz RAM clock (effective), triple fan cooler design with RGB LED lighting, LHR version with reduced hashrate.",564,4,2,30,6fdda8df-c428-4139-bcd8-8cd452dd001c.png,0,
AMD Ryzen 7 5800X,"The AMD Ryzen 7 5800X is the ultimate desktop processor for gamers, creatives and enthusiasts. AMD's multi-threading technology enables even better multitasking, as each processor core can process two tasks simultaneously. So you can enjoy intelligent multitasking. Your PC responds faster and tedious waiting is a thing of the past. Precision Boost 2 automatically increases processor frequency. So you get concentrated power exactly when it's needed most.",269,5,4,31,dec3c00e-4767-4689-86fc-b38d4ad542a2.png,0,
Intel Core i7-13700K,"13th Gen Intel® Core™ i7-13700K desktop processor. Featuring Intel® Turbo Boost Max Technology 3.0, and PCIe 5.0 & 4.0 support, DDR5 and DDR4 support, unlocked 13th Gen Intel® Core™ i7 desktop processors are optimised for gamers and productivity and help deliver high performance. Compatible with Intel® 700 Series and Intel® 600 Series chipset based motherboards. 125W Processor Base Power.",463,5,5,32,810fdca7-7211-4077-878c-abc7069a86a2.png,10,480
AMD Ryzen 7 5800X3D,"AMD Ryzen 7 5800X3D. Processor family: AMD Ryzen™ 7, Processor socket: Socket AM4, Processor lithography: 7 nm. Memory channels: Dual-channel, Memory types supported by processor: DDR4-SDRAM, Memory clock speeds supported by processor: 2667,2933,3200 MHz.",377,5,4,33,843d2bd8-b0bb-46d6-a54f-f37374786092.png,0,
Intel Core i9-13900K,"The Intel Core desktop processors of the 13th generation called Raptor Lake bring a chip layout with different CPU cores for different application scenarios. The Performance Cores provide performance for computationally intensive applications, the Efficiency Cores for energy efficiency under light load. The Raptor Lake processors support PCIe Gen 5.0 and 4.0, DDR5 and DDR4. The processor is compatible with motherboards based on the Intel 700 and 600 chipset.",652,5,5,34,fc8858ed-8bbf-426c-a745-535de405ee72.png,18,
AMD Ryzen 9 5900X,"The AMD Ryzen 9 5900X is the ultimate desktop processor for gamers, creatives and enthusiasts. AMD's multi-threading technology enables even better multitasking, as each processor core can process two tasks simultaneously. So you can enjoy intelligent multitasking. Your PC responds faster and tedious waiting is a thing of the past. Precision Boost 2 automatically increases processor frequency. So you get concentrated power exactly when it's needed most.",389,5,4,35,000c5445-45e3-4c6e-bcff-da3a624f9bf7.png,0,
WD Black SN850X,,228,7,6,36,3155298c-46b7-4b3f-91a2-a163995913f0.png,0,
Samsung 980 Pro,"Unleash the power of the Samsung SSD 980 Pro, Samsung's first PCIe 4.0 NVMe SSD for home use - for next-level computing experiences. Designed for graphics-intensive games and high-performance applications, the 980 Pro uses Samsung's proprietary controller and PCIe 4.0 to double the data transfer rate of PCIe 3.0, while backward compatibility and a compact M.2 form factor provide versatility and flexibility in a variety of high-performance computing solutions.

Next-level NVMe SSD performance: Samsung's custom Elpis controller for PCIe 4.0 SSDs, advanced V-NAND and DRAM technologies, and all other components and firmware of the 980 Pro are designed and manufactured in-house by Samsung to maximize performance and speed. The 980 Pro is approximately twice as fast as previous generation PCIe 3.0 SSDs and 12.7 times faster than SATA SSDs.

A winning combination: Designed for hardcore gamers, creative professionals and tech-savvy users, the 980 Pro delivers high-performance bandwidth and throughput for performance-intensive applications in gaming, graphics, data analytics and more. It loads games quickly on both PCs and consoles, allowing you to play more and wait less. Its performance is also optimized for seamless processing of 4K and 8K content. Built in a compact M.2 2280 form factor, the 980 Pro easily plugs into desktop PCs and laptops for maximum board design flexibility. Optimized energy efficiency makes the drive ideal for high-performance computing systems.

Intelligent, reliable temperature control: The 980 Pro's next level of performance is backed by exceptional temperature control. The SSD uses a nickel plating instead of an external copper enclosure to better control the temperature of the controller, as well as a heat spreader label that efficiently controls the temperature of the NAND controller. Embedded with state-of-the-art Dynamic Thermal Guard technology, the 980 Pro handles temperature management autonomously and automatically to ensure reliable performance. To prevent long-term performance fluctuations, Samsung's Dynamic Thermal Guard technology constantly monitors the temperature of the 980 Pro and keeps it in the optimal range.",269,7,7,37,329ed453-9d0b-4682-9b40-a378420fefe0.png,0,
WD Black SN850X with Heatsink,,238,7,6,38,2fd7446c-81f4-4d02-9e7c-34c4e72fb75e.png,0,
Samsung 970 EVO Plus,"Equipped with the latest V-NAND technology, the 970 EVO Plus is even faster than the 970 EVO and also features firmware optimisation. Thanks to NVMe, even greater bandwidth is made possible for even faster access times. It is specifically designed for tech professionals, gamers, and professionals who frequently work on creating and editing videos or simulations. With 3bit MLC V-NAND technology and the proven Phoenix controller, the 970 EVO Plus offers unsurpassed performance and exceptional reliability in a small M.2 2280 form factor. Combined with Samsung V-NAND technology, the powerful Phoenix controller and improved Intelligent TurboWrite technology, the 970 EVO Plus delivers impressive sequential read/write performance. Intelligent TurboWrite technology uses a large buffer size to enable faster write speeds, improving ease of use especially when transferring large files or heavy workloads. The Samsung controller on the 970 EVO Plus is nickel-plated and the SSD's drive module has a heat spreader to effectively dissipate waste heat from operation. In addition, the Dynamic Thermal Guard function constantly monitors the drive so that optimum operating temperatures are maintained and performance can be kept constant. The Self-Encrypting Drive (SED) security technology of the 970 EVO Plus helps keep your data secure at all times. In addition, there is an AES 256-bit encryption engine to ensure the security of your personal files. Hardware-based encryption secures your data without the performance degradation that can occur with software-based encryption. The 970 EVO Plus is also compatible with various advanced security management solutions (TCG Opal and Encrypted Drive-IEEE1667). The 970 EVO comes with Samsung Data Migration and Magician software that are easy to install and simplify the management of your SSD. Samsung Data Migration offers you a very powerful custom cloning feature that makes migration effortless, even if the amount of source data is greater than the capacity of the SSD. Magician provides personalized firmware checks and features tailored to each user's drives. The software even automatically updates the firmware to ensure that the drive's performance remains up to date. With this SSD, data is transferred using PCI-Express, leaving conventional SATA SSDs far behind in terms of transfer rate. M.2 SSDs are installed on the motherboard via the M.2 socket. Due to their compact dimensions, they are particularly suitable for use in Ultrabooks and Mini-PCs, but can also be used in normal computers. In systems with NVMe-support this SSD shines especially. You benefit from high throughput, high IOPS and low latency. Unlike the older AHCI protocol designed for traditional spinning drives, NVMe prevents performance degradation, provides faster transmission of large amounts of data, increased boot speeds, and improved system response time.",209,7,7,39,0f0fa6dc-8215-41e3-bc5d-7c3b832054bb.png,0,
WD Black SN850X,,639,7,6,40,d323ed48-bd30-4b73-8508-11694f83b682.png,0,679
Seagate IronWolf,"Seagate Hard Disk IronWolf SATA 3.5 8 TB.",199,8,8,41,65a28631-0943-4bc3-a71c-e14d4967a66e.png,0,
Seagate Exos X18,"Seagate Exos enterprise-class hard drives are designed for the most demanding workloads and are the perfect high-reliability drives for servers, storage systems and business-oriented NAS applications. Exos X family drives provide maximum storage capacity and the most efficient rack utilization. As the flagship of the Seagate X-class, Exos X18 drives are among the highest capacity drives in the fleet.Exos X drives offer very high disk performance with advanced write caching, making them ideal for OLTP, Hadoop, Ceph and HPC applications. Experience the industry's greatest IOPS/Watt by optimizing your storage with Seagate's PowerBalance feature.Seagate enterprise hard drives lower your cooling and energy costs per gigabyte by delivering high capacity with low power consumption and small form factor. With Seagate's PowerChoice technology already built in, you'll be able to further reduce your power costs and customize your systems to meet your needs. This results in up to 35% lower power consumption and is especially useful for businesses with many hard drives.",299,8,8,42,d929bd23-fb66-4bdb-a685-bd7eeffb9dec.png,0,
WD Red Plus,"The WD Red Plus offers concentrated performance for small and medium business NAS environments and increased workloads in home and small offices. It is optimized for archiving, content sharing, and building RAID arrays in systems with ZFS and other file systems. Designed and tested for NAS systems with up to 8 drive bays, the drives provide the flexibility, versatility and security needed to store and share your valuable personal and business files. With a NAS and WD Red Plus hard drives, you can stream, back up, organize, and easily share your digital content with other devices on your home or business network. NASware 3.0 technology increases the compatibility of your hard drives with other devices. Larger businesses with up to 24 drive bays can rely on the outstanding performance of WD Red Pro hard drives.

3D Active Balance Plus - Advanced two-level mass balance technology dramatically improves overall drive performance and reliability. Hard drives without proper mass balancing can cause excessive vibration and noise in a multi-drive system, reducing drive life and causing performance to drop over time. A continuous operation environment - your NAS system runs around the clock. Therefore, a highly reliable storage is essential. With an MTBF of more than 1 million hours, WD Red Plus is designed for continuous operation. Compatibility: Unlike desktop drives, these hard drives are tested for compatibility with NAS systems to ensure optimal performance.

Reliability: The continuous operation of a NAS or RAID is extremely demanding. Desktop drives are typically not designed and tested for these conditions - unlike the WD Red Plus. Troubleshooting protocols: WD Red Plus NAS hard drives are specifically designed with RAID troubleshooting protocols to help reduce NAS system failures. Noise and Vibration Protection: Desktop drives are designed for single drive operation and therefore typically offer little or no protection against noise and vibration found in multi-drive systems. WD Red Plus hard drives are optimized for use in NAS environments with multiple drive bays.",282,8,6,43,ec4f2ad2-c5e1-4bba-93b8-d469b7c35e4d.png,0,299
Seagate IronWolf,"IronWolf and IronWolf Pro are designed for everything related to the NAS system. IronWolf's always-on hard drives feature AgileArray technology for optimal system flexibility and reliability. With multi-user technology and high workload rates, IronWolf can scale with your business.",275,8,8,44,da0ca12d-4b4b-4a2b-baf5-d33664806145.png,15,
Seagate BarraCuda,"The BarraCuda offers a high storage capacity for desktop and mobile computers. All hard disks of the BarraCuda product family are equipped with multi-tier caching (MTC). With MTC, your PC can climb to the heights of performance so you can load applications and files faster than ever. Thanks to intelligent NAND flash layers, DRAM and media cache technologies, BarraCuda offers improved read and write performance by optimizing data flow.",147,8,8,45,f4ea4067-1520-48f9-8d4e-8641e099092a.png,0,
Netgear GS105GE,"The Netgear Gigabit Unmanaged Switch product line allows organizations to upgrade their networks to Gigabit speed and higher port counts. They are energy efficient, durable, and rigorously tested to ensure the reliability demanded by enterprises. Netgear Unmanaged Switches also support the Energy Efficient Ethernet standard, which reduces power consumption when there is little traffic or no links or activity detected on an active port. Energy can also be saved by using short cables.",24.30,2,9,46,84c7002f-02cc-497a-9042-8eb4637b129b.png,0,
Ubiquiti UniFi U6 LR,"U6-LR is a high performance access point that uses advanced WiFi 6 technology to provide high performance wireless coverage for enterprise environments. It delivers an overall radio rate of up to 3.0 Gbps at 5 GHz (4x4 MU-MIMO and OFDMA) and 2.4 GHz 4x4 MIMO devices. The U6-LR blends seamlessly into any environment and can be mounted indoors or outdoors (IP54 rating).",204,2,10,47,80455a78-7730-4697-98f5-e55bfe9099ff.png,0,
Ubiquiti Access Point UniFi 6 Professional U6-PRO,"Access Point Features: Guest WLAN, Access Point, Antenna Connector: Antennas Internally pre-installed, Outdoor Use: Yes, RJ-45 Connectors: 1, PoE: Yes, WLAN Standard: IEEE 802.11ac (Wi-Fi 5), IEEE 802.11n (Wi-Fi 4), IEEE 802.11g (Wi-Fi 3), IEEE 802.11b (Wi-Fi 2), IEEE 802.11a, IEEE 802.11ax (Wi-Fi 6).",174,2,10,48,8a678487-3f4f-4c83-9d15-87c7e9130d8b.png,10,189
Netgear GS108GE,"The Netgear Gigabit Unmanaged Switch product line allows organizations to upgrade their networks to Gigabit speed and higher port counts. They are energy efficient, durable, and rigorously tested to ensure the reliability demanded by enterprises. Netgear Unmanaged Switches also support the Energy Efficient Ethernet standard, which reduces power consumption when there is little traffic or no links or activity detected on an active port. Energy can also be saved by using short cables.",29.50,2,9,49,e311ca56-2aea-434e-82e3-b77e39494bfc.png,0,
Ubiquiti UniFi Switch 24 Poe,"The USW-24-POE is a configurable Gigabit Layer 2 switch with twenty-four Gigabit Ethernet ports, providing Gigabit PoE connections to your RJ45 Ethernet devices and Gigabit fiber optic uplink options to your enterprise network. Managed and configured by the UniFi network controller with support for UniFi mobile apps, the USW-24-POE provides a comprehensive suite of advanced Layer 2 switching protocols and features, including the operating mode (switching, mirroring or aggregate) per port. With the UniFi Network Controller and mobile app, administrators can configure and monitor virtually all switch functions in a graphical user interface from anywhere.",504,2,10,50,1548d4f9-fcc3-4d8b-a424-69446e836ed9.png,0,
Apple AirPods (2nd Gen.) Charging Case,"With the new AirPods, you'll experience wireless headphones in a whole new way. Just take them out of the charger and they're ready to use with your iPhone, Apple Watch, iPad, or Mac. With a tap of a finger, you set up the AirPods and they work like magic. They're automatically turned on and always connected. The AirPods even detect when they're in your ears and pause when you take them out. To adjust the volume, change the song, call someone or get directions, say 'Hey Siri' and what you want to do. You can wear just one or both AirPods and double-tap to play a track or skip to the next when listening to music or podcasts. AirPods offer 5 hours of playback and 3 hours of talk time per charge. And with a charging case that holds additional charges for 24 hours of playback, they'll keep up with whatever you're doing. Need a quick charge? After just 15 minutes in the charging case, you can listen to 3 hours of music or talk for 2 hours. Controlled by the new Apple H1 chip, AirPods use optical and accelerometry sensors to tell if they're in your ear. The H1 chip automatically routes audio and activates the microphone - whether you use both AirPods or just one. And when you're on the phone or talking to Siri, an additional accelerometer with speech recognition and wavefocused microphones help reduce outside noise and make your voice clearer.

Case can be loaded with a Lightning Connector. Case does not support wireless charging.",129,1,11,51,4b8b4ae3-e362-4e31-a321-52d4ace2695f.png,0,
